C18-neg_Cluster_0004	4-hydroxystyrene
C18-neg_Cluster_0019	p-hydroxyphenylacetate
C18-neg_Cluster_0025	acesulfame
C18-neg_Cluster_0031	phenyllactate
C18-neg_Cluster_0045	azelate
C18-neg_Cluster_0064	sebacate
C18-neg_Cluster_0079	undecanedionate
C18-neg_Cluster_0090	acetytyrosine
C18-neg_Cluster_0107	myristic acid
C18-neg_Cluster_0111	dodecanedioic acid
C18-neg_Cluster_0144	2-hydroxymyristic acid
C18-neg_Cluster_0164	palmitoleic acid
C18-neg_Cluster_0171	palmitic acid
C18-neg_Cluster_0177	tetradecanedioate
C18-neg_Cluster_0183	1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid
C18-neg_Cluster_0219	2-hydroxyhexadecanoate
C18-neg_Cluster_0244	alpha-linolenic acid
C18-neg_Cluster_0246	linoleic acid
C18-neg_Cluster_0250	oleic acid
C18-neg_Cluster_0256	stearic acid
C18-neg_Cluster_0268	hexadecanedioic acid
C18-neg_Cluster_0351	eicosapentaenoic acid
C18-neg_Cluster_0354	arachidonic acid
C18-neg_Cluster_0361	eicosatrienoic acid
C18-neg_Cluster_0373	eicosenoate
C18-neg_Cluster_0393	12.13-diHOME
C18-neg_Cluster_0394	9.10-diHOME
C18-neg_Cluster_0472	docosahexaenoic acid
C18-neg_Cluster_0486	carnosol
C18-neg_Cluster_0490	docosapentaenoic acid
C18-neg_Cluster_0506	adrenic acid
C18-neg_Cluster_0515	palmitoylethanolamide
C18-neg_Cluster_0530	13-docosenoate
C18-neg_Cluster_0563	palmitoylethanolamide
C18-neg_Cluster_0591	eicosatrienoic acid
C18-neg_Cluster_0672	nervonic acid
C18-neg_Cluster_0709	arachidonic acid
C18-neg_Cluster_0729	docosapentaenoic acid 
C18-neg_Cluster_0731	lithocholic acid
C18-neg_Cluster_0830	hyodeoxycholate/ursodeoxycholate*
C18-neg_Cluster_0832	chenodeoxycholate
C18-neg_Cluster_0833	deoxycholic acid
C18-neg_Cluster_0863	docosapentaenoic acid
C18-neg_Cluster_0900	ketodeoxycholate
C18-neg_Cluster_0901	7-ketodeoxycholate
C18-neg_Cluster_0927	alpha-muricholate
C18-neg_Cluster_0930	cholate
C18-neg_Cluster_1045	chenodeoxycholate
C18-neg_Cluster_1060	chenodeoxycholate
C18-neg_Cluster_1081	glycolithocholic acid
C18-neg_Cluster_1129	chenodeoxycholate
C18-neg_Cluster_1131	arachidonic acid
C18-neg_Cluster_1178	cholate
C18-neg_Cluster_1196	glycodeoxycholic acid
C18-neg_Cluster_1197	glycoursodeoxycholic acid
C18-neg_Cluster_1258	cholate
C18-neg_Cluster_1273	cholate
C18-neg_Cluster_1275	oleanolic acid
C18-neg_Cluster_1292	chenodeoxycholate
C18-neg_Cluster_1324	docosapentaenoic acid 
C18-neg_Cluster_1372	cholate
C18-neg_Cluster_1385	maslinic acid
C18-neg_Cluster_1465	taurolithocholic acid
C18-neg_Cluster_1574	taurochenodesoxycholic acid
C18-neg_Cluster_1575	taurodeoxycholic acid
C18-neg_Cluster_1576	taurohyodeoxycholate/ tauroursodeoxycholate
C18-neg_Cluster_1596	oleanolic acid
C18-neg_Cluster_1620	arachidonic acid
C18-neg_Cluster_1621	cholate
C18-neg_Cluster_1680	maslinic acid
C18-neg_Cluster_1722	cholate
C18-neg_Cluster_1803	maslinic acid
C18-neg_Cluster_1941	arachidonic acid
C18-neg_Cluster_2021	urobilin
C18-neg_Cluster_2068	maslinic acid
C8-pos_Cluster_0100	7-hexadecenoic acid methyl ester
C8-pos_Cluster_0123	sphingosine
C8-pos_Cluster_0136	piperine
C8-pos_Cluster_0166	sphingosine
C8-pos_Cluster_0168	palmitoylethanolamide
C8-pos_Cluster_0253	sphingosine
