	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
X0	0.9632353240532376	-0.49248048882098044	-0.2033633459520573	1.0342300645311275	0.31380779031729306	0.44887847731277253	-0.605787576050385	0.22735989296528572	0.34198047770393686	0.5523049934865338	-0.42744594330992025	-1.3394784479739807	-0.7201664353001195	0.8150497895306112	-1.3042928715345805	0.1074697426050579	0.40966061901259376	-0.9485803742611629	-0.1157649273679347	1.159140606728613	-0.8470518254132693	-0.3039377837344599	-0.14053450103444265	-0.9428008121890764	-0.6521786405061345	0.5241093986801755	-0.050681523964058506	0.5807623792975671	0.021711892606407324	0.2770549430042353	0.5178030844431529	0.9313978572151947	-0.00452209506301221	-0.3931536406935028	0.3401038411433412	0.8315233796315566	0.3365306653005247	-0.5154833632006686	0.015206900602501669	1.2828470837043802	-0.6881553673829575	-1.0229342409754376	-1.1005362505973566	0.3790173188548336	0.598041984869702	0.12253577498420942	0.24003261946024326	-0.8207936460019981	1.0902296085349539	0.11139168491209306
X1	0.41820509675752415	0.1396906209809629	0.07372600980429495	0.3153268070959672	0.9452691805953344	0.18271305360681428	-0.731610128979006	-0.09996896877999789	0.5784246860803707	-0.023100505485996514	-0.46463974488175913	-1.3260051139668074	-0.1760872937674821	0.8192151083251114	-0.707267483881438	-0.19476155773045262	0.7357092559863176	-0.5425315391325369	0.15329167473246486	0.7423075339885334	-0.7170185453909086	-0.41876477303330134	-0.13654594564562544	-0.7770011498167085	-1.0697175011462021	0.2249746629098071	-0.7628398428921955	1.1378523004275762	0.06732397189504774	0.15741962577637159	0.7352681347285542	1.2776640949958944	-0.24295320783244584	-0.39619004047907463	-0.32726000795890897	0.7052750388713133	0.4639325384221808	0.0007692103744089129	0.632408129850134	1.256431284941601	-0.5973831755009897	-1.1513833833453018	-0.7917425861487719	0.08287187131006934	0.3264514558699966	-0.8915118151820822	0.12810373430506672	-1.3250623775200756	0.8914998593800032	0.9510480841663136
X2	0.2828102296906061	-0.15956144422180676	0.1482772404368104	0.7621642272103348	0.4471528690918034	0.38049508318693953	-0.6443786749662923	-0.11348340153057568	0.69938231603517	0.949394171267505	-0.714149497745813	-0.5701203156686275	-0.3593774390162327	1.3250537007850398	-0.5321916974981674	-0.030112318842024588	0.9855409956112389	-1.4420997858300102	-0.03650843534972692	0.8748732692477696	-0.9485989513926256	0.24721966218215907	-0.6832397299319916	-0.13312208106798396	-0.4602843305352204	0.010563157488307051	-0.89408891759432	1.4947626428457066	-0.7741250961366668	-0.2886156631899979	0.06868911468030964	1.257367963738695	0.45352733292615854	-0.584209766490553	0.1287086156886785	0.3366250397925932	0.6579251291624055	-0.8849149088360756	-0.014108584181572209	1.3557934821266797	-1.246787824159663	-1.4102813771253278	-1.0345074514625052	0.24731235411212454	0.19657360988223385	-0.40872456665226364	-0.16932758070412812	-0.9033748028937938	1.4375409401070995	-0.10543681418369066
X3	0.21638985020247337	-0.7354473612727072	-0.11837484658795974	0.31338835816800414	0.47277154694482065	-0.30669898738716767	-1.2582640920742714	0.24853679386536723	1.1743844580804075	0.23654152985004523	-0.6963300971827675	-0.4473850996463176	-0.18323258595521663	1.3591688425082975	-1.1538453650419032	0.38366811224396524	1.0581080837109444	-0.909498530146609	-0.15022163792170531	1.1732448414358307	0.01314279663714879	-0.5007401728851508	-0.09392159741083203	-0.12817379492047487	-1.1965127158745825	0.05995312608040221	-0.24073425264746307	0.9538087963354811	0.16074344639347027	-0.3335639429672786	0.5225349091399598	1.2672435655972416	-0.15709400433392268	0.12306145939605595	-0.27897382835383683	0.11070217927054865	0.1429989405955564	0.20139049253964258	-0.09075694903277773	0.5876506153696923	-0.3095462431889217	-1.216822794980634	-0.25876362079678783	0.48727874651839953	0.6456358279089733	0.000140255441503645	-0.02740721586058087	-0.4197591261388082	1.277605873374213	0.5884176299209712
X4	0.1360359826912254	0.24238362035921707	0.16654710566015818	1.1391417658327359	0.7458774234203185	-0.2974671527360371	-1.3899130808488542	0.3097333103286645	0.5177053791088055	0.15512133953996549	-0.531322474929885	-0.4452558516029738	-1.1939314349306025	1.3922123314238504	-1.184724811995837	-0.11499136182475889	1.0313077670214543	-0.9294010882246901	-0.8048671208437534	0.4794391087458401	-0.41566703703167185	-0.24467453418472745	-0.7493523598097674	-0.5533861783334182	-0.21080879499237237	0.7771197050329952	-0.0630430789563931	1.441721974916609	-0.7998744994744513	0.38629520252947114	-0.051143798933894535	0.44247565224193325	-0.22583426014802266	-0.5241999583954363	-0.2649378192253188	0.5232981048602797	-0.08538139933949301	0.005719717371318711	-0.07887056602396314	0.770437527559758	-0.7436543042944198	-1.2358752843156553	-0.6384810505385121	0.1678060559397648	0.06826414726419278	0.08867297260613621	-0.04206351888707055	-1.4024746440451428	0.8499662993088885	-0.08903942039535084
X5	0.31579376323177843	0.3279482582119845	-0.26505806892769174	0.29659855242503197	1.1318450584902036	-0.24041264046588157	-0.34929267267389885	-0.23714231524560592	0.838364121842354	0.8308096410397846	-0.866123868354973	-0.457627929085639	-0.3454057098995011	0.7227844656603131	-1.124419559931672	-0.12120921344622937	0.9915431051470279	-1.4634160461986263	-0.5425284470604274	0.6301454634572567	-0.21524735907917683	-0.38358543389235006	0.30782419004585193	-1.0696214462949947	-0.18961812917143173	-0.023776241381362806	-0.7814498631263643	0.8825107536011821	-0.5707294586243234	-0.48223729103499746	0.034713817649016876	1.1483074228538561	0.2197968365840942	-0.47129745105414256	0.3229681540772713	0.18460088752335085	0.7406718338337898	-0.5275618621838121	0.07226753091810666	1.461172611821755	-0.5131003211190915	-1.4659064291181274	-0.48086255392586386	0.7399152801486506	0.701226638699374	-0.7965644267764288	-0.04458430760073512	-1.3466825792116301	0.710950723491092	0.026073108320575245
X6	0.905959441745462	0.23818937597234668	-0.5988211903053267	1.12474054121818	1.0163635241516953	-0.45505518758662605	-1.153455684662628	0.22563697810494288	1.1591353943235905	0.8292998363391566	-0.5512796807099039	-1.2739470444886947	-0.40956248813317003	0.550727071886545	-1.153112391094474	0.3870189277104645	0.49467187183431344	-0.6756530842708681	-0.5627897049222147	1.1289254705938903	-0.00377283328347483	0.42774482513925494	-0.32010697104873853	-0.6577160234165057	-1.2613185679407743	1.012758070142513	-0.7784308929321185	1.3890538530122871	-0.8382218947885741	-0.511964264690724	0.3977313873032042	1.3421574158301801	0.2316516021875103	0.14198981719944964	-0.1794757304510161	1.1195176521440469	0.4969664945059442	-0.555355985638462	0.4267565760390778	0.5326388423906812	-1.1322807893664848	-1.2735232430538908	-1.137959500956269	0.5370712344613064	0.39901469609774726	-0.5858510961631616	0.5362458473141953	-0.7911019555903703	0.9813893676851516	-0.12157232554325392
X7	0.40413178249073206	-0.7442746351455729	-0.632039420968995	0.3047862377889722	0.13597235907189514	0.06925924487224788	-0.8330820845664554	0.6994423557859234	0.2279680668243969	0.12611170803466998	-0.4988527708966274	-0.4160424821727216	-1.146196661543038	0.8923330011894958	-1.0158433656157193	0.7969730912877798	0.4327991477479971	-0.8868842312356587	-0.010593910057881184	0.19326688254244728	0.007786614436149308	-0.16121386062863324	-0.5224466275304729	-0.8958445191178968	-0.3729910417028678	0.8104740239556815	-0.017604720077163183	0.6552746595973037	0.17802655718033206	-0.2910413151347396	0.9524821420194778	0.905405199693469	0.7005728149881464	-0.4631248365104195	0.3305789767392073	0.5604685969651999	0.7137406822826362	-0.055574027450977725	0.21742053079047813	1.0902579620899522	-1.0155627139986079	-1.3208834428331666	-0.4649909915453672	0.821110607396106	0.0312859810396815	-0.8878004836792527	0.7218933132794743	-1.3168795772592403	0.7925589949470946	0.5150424783331153
X8	-0.6361375664302247	1.0666415031331973	-0.5370766748171985	1.3900130420406607	-0.22490884831728325	-0.23022727431125292	-0.8799328470717942	-1.0534334699442334	0.4838134951533487	-0.45685275795265273	-0.19441579500944495	0.08865334676373321	0.33936371801300663	0.6921747675573089	0.8736515465526367	0.34148680728574654	0.7903238212768531	0.5499917948974444	-1.0468985798211812	0.5917593761640816	-0.8338148316498932	-0.08765090589971936	0.2677178931119975	0.2117651324718393	-0.7516741601416119	0.24516973200665249	-0.8395988435854583	-0.8485053807396429	0.769791743186613	-0.38476955268911717	-0.8517118732078386	-0.43293348728779185	-0.33400379727345336	-0.07680860382538679	1.0401692402479585	1.1501845946094438	-0.19756666847746568	0.06619599880422011	-1.3369993454218008	0.5384915412926992	-0.7519542551819473	0.5660082296433022	-0.5114549046189409	0.26312576800147364	0.6206357558650766	-0.2926019328041084	0.62323475280689	-0.9719164063369562	-0.034736733703671197	0.9383731459817622
X9	-1.2351666794831433	0.2623967881719413	0.13269011889906507	0.45683896279980285	0.5687522768950617	-0.3908023433741326	-0.5391689318780085	-0.8306341834734166	0.9378653535049275	-0.11746885477621205	-0.5434654824268428	-0.1418975867638715	1.242608271524824	0.23181855386750322	0.6644727374135002	-0.4405430404594263	0.26911629031503614	0.904721451702458	-0.49840856140335393	1.0926270301487602	-1.03000509056618	-0.7158873834254429	-0.2665240473102654	-0.17647651413903528	-0.8471536344097961	0.08802967336460171	-0.7284450308274876	-0.45258605325999846	0.1303063756508357	-0.908873173297532	-0.6092427662372358	-0.9724712649222126	-0.20291138056183872	0.8015254730702818	0.912914368897991	0.9325515200972424	0.37842642340066596	-0.13899415965708448	-1.152975792832379	0.43913813554684267	-1.0025941690076552	0.40944921453192945	-1.2804582041007166	0.13388418402752983	1.2665016603511026	0.011520631927811165	-0.03396575006294364	-1.406662839371712	-0.5133549465476356	0.715982609845008
X10	-0.7236317332284703	0.599897416449341	-0.1875559995713521	0.7005968515883898	-0.23754614925866213	-0.57562164654783	-0.90606468528103	-1.2168844791566107	1.2283948912051037	-0.1935045615944803	-0.8975763633673077	-0.3333694120550414	1.0891331052929267	0.43674764112818254	0.5533822771975542	-0.6749673659777984	0.3402388483236854	0.9161238651886544	-0.8733069754678051	0.9166849896187692	-0.5901606728222063	-0.8619810247784134	0.1351286961418926	0.41594077312477185	-0.4567935178923738	-0.01474238864477434	-0.21851961437926043	-0.8513329140747449	0.6678927381694074	-0.9669532565339232	-0.9230701477121352	-0.1275557561375667	0.010460573055710187	0.5832181699804305	0.7424731960221748	0.4378432494651599	0.21163551752904092	-0.33871779308346706	-1.3217177574388614	0.04361686240209195	-0.2544376853195922	0.33871984372424685	-1.147290240292853	0.43051556633934707	1.3180208859145552	-0.5610409830269505	0.016599441007384252	-0.9745403217572568	-0.7174575423651239	1.087657276229514
X11	-1.4570684008371801	1.1735919697912793	-0.14651816572755472	1.36531011684297	-0.3381201373918061	0.01952876877324805	-1.10838021900796	-0.7089232753303438	1.193339594671515	0.22194505502051065	-1.006675196633181	0.1413649796783823	0.4653285937987908	0.2450871920672256	0.7092058075530685	0.15992346579740085	0.591377389323564	0.2645708139592596	-0.9044737257796089	0.1524765082530664	-0.8311293422702734	-0.7557444934129196	0.4979573305207422	-0.1583713279818785	-0.9747144209695797	0.3523015168094169	-0.3230128615409797	-1.3674517702753795	0.9744996643369288	-0.7307723103602719	-0.33492940667091353	-0.6426456380895371	0.19131934558581043	-0.013043714513795213	0.5118123329062958	0.9978548364459994	-0.3834136974118455	-0.42277427661696304	-0.9459261745051031	0.4110543099615517	-0.862095192811972	0.34374404712890094	-0.33163914824205365	0.5554350702347429	0.7182113988756864	0.2513513319765347	-0.14049970474828455	-1.0052078490238243	-0.1658288525188032	1.0432706390375133
X12	-0.9992715913237105	0.6949055631000939	-0.8937382390257386	0.20357556196452287	-0.3159064228597773	-1.207972266911426	-0.3743728772110575	-0.49823844896001795	0.22423116549574273	0.23880149352821584	0.3081795780476894	0.9531195932671273	0.7989300082928055	-1.2065676940728016	-0.043909610585923076	0.4335620690713172	1.1957082647132524	0.02019363535637575	-0.6003323902285546	1.0469796368408912	0.18981482072124678	0.2657716352108318	-1.335773967905659	-0.49501237139023224	0.31882880516425643	0.1371857434164962	0.11628391158728629	0.0788576677842871	0.32484089912905234	-0.8170739003644506	0.7241769328116584	0.569204532538082	0.20482762193392917	-0.6816967583256065	1.2412741007139472	-0.4286110209795788	0.5217622481214794	-1.12567990318215	0.50966923187202	0.8148121812082396	-0.8025295199533645	-0.08828556878867128	0.6241645541933538	-0.09017480908281064	-0.375877045688804	1.204504432616621	-0.12047978074194976	0.7573594205570018	0.492080337408272	-1.368008178887345
